ID,Station Name,City,Access Days Time,Facility Type,Latitude,Longitude,EV Network,Owner Type Code,County
33351,City of Lacey - City Hall Parking,Lacey,24 hours daily,MUNI_GOV,47.044011,-122.822404,Non-Networked,LG,Thurston
33717,Seattle-Tacoma International Airport - General Parking,Seattle,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,AIRPORT,47.443377,-122.296229,Non-Networked,P,King
155376,Sunwest Automotive Engine Inc,Medical Lake,24 hours daily,,47.571612,-117.681838,EV Connect,,Spokane
313079,Days Inn & Suites,Airway Heights,24 hours daily,HOTEL,47.6441402329576,-117.576707512147,Non-Networked,P,Spokane
37181,BELLEVUE BELLEVUE CH 1,Bellevue,24 hours daily,,47.614744,-122.193162,ChargePoint Network,,King
38082,KING COUNTY DES ISSAQUAH P&R 2,Issaquah,24 hours daily,,47.545324,-122.0195,ChargePoint Network,,King
38952,UWB CASCADIA CC NORTH LEVEL 3 N,Bothell,24 hours daily,,47.761878,-122.191915,ChargePoint Network,,King
38959,CITY OF REDMOND CITY HALL DUAL,Redmond,24 hours daily,,47.679224,-122.12995,ChargePoint Network,,King
38966,CITY OF REDMOND MOC #1 PUBLIC,Redmond,24 hours daily,,47.672359,-122.099034,ChargePoint Network,,King
38976,WILLOWS LODGE WILLOWS #2,Woodinville,24 hours daily,,47.734211,-122.147041,ChargePoint Network,,King
39778,Bellingham Nissan,Bellingham,Dealership business hours,CAR_DEALER,48.75573,-122.45411,Non-Networked,P,Whatcom
39779,Advantage Nissan,Bremerton,Dealership business hours,CAR_DEALER,47.562162,-122.684286,Non-Networked,P,Kitsap
39780,Burien Nissan,Burien,Dealership business hours,CAR_DEALER,47.45832,-122.33325,Non-Networked,P,King
39782,Campbell-Nelson Nissan,Edmonds,Dealership business hours,CAR_DEALER,47.778229,-122.344838,Non-Networked,P,Snohomish
39786,Olympia Nissan,Olympia,Dealership business hours,CAR_DEALER,47.03101,-122.9298,Non-Networked,P,Thurston
39787,Bill Robertson Nissan,Pasco,Dealership business hours,CAR_DEALER,46.236607,-119.128998,Non-Networked,P,Franklin
39788,Dan Wilder Nissan,Port Angeles,Dealership business hours,CAR_DEALER,48.10274,-123.34307,Non-Networked,P,Clallam
39789,Bill Korum's Puyallup Nissan,Puyallup,Dealership business hours,CAR_DEALER,47.20763,-122.29502,Non-Networked,P,Pierce
39791,Younker Nissan,Renton,Dealership business hours,CAR_DEALER,47.44822,-122.21915,Non-Networked,P,King
313078,CHAS Cheney Dental Clinic,Cheney,24 hours daily,PARKING_LOT,47.4972856294039,-117.565699782953,Non-Networked,P,Spokane
151949,TA Petro - Tesla Supercharger,Spokane,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,SHOPPING_CENTER,47.591,-117.56193,Tesla,P,Spokane
39797,Tacoma Nissan,Tacoma,Dealership business hours,CAR_DEALER,47.21972,-122.48567,Non-Networked,P,Pierce
39798,Alan Webb Nissan,Vancouver,Dealership business hours,CAR_DEALER,45.64821,-122.59841,Non-Networked,P,Clark
39799,O'Brien Nissan,Walla Walla,Dealership business hours,CAR_DEALER,46.047464,-118.353406,Non-Networked,P,Walla Walla
40383,KEY CENTER KEY CENTER 6,Bellevue,24 hours daily,,47.616104,-122.19696,ChargePoint Network,,King
40384,KRC SKYLINE SKYLINE #1,Bellevue,24 hours daily,,47.61434,-122.194037,ChargePoint Network,,King
41579,Caplan's Rainbow Parking,Seattle,Garage business hours; see the valet for access,PARKING_GARAGE,47.604115,-122.332907,Non-Networked,P,King
41776,CITY OF SEATAC CITY HALL 1,SeaTac,24 hours daily,,47.434021,-122.273183,ChargePoint Network,,King
42228,BELLEVUE SBCC #2,Bellevue,24 hours daily,,47.568886,-122.145268,ChargePoint Network,,King
43303,VALLEY MED CTR MAIN LOT #5,Renton,24 hours daily,,47.443255,-122.212445,ChargePoint Network,,King
43804,TAC PW PARKING A ST GARAGE 01,Tacoma,24 hours daily,,47.253809,-122.437429,ChargePoint Network,,Pierce
43806,TAC PW PARKING GLASS MSM CP 01,Tacoma,24 hours daily,,47.245934,-122.43398,ChargePoint Network,,Pierce
44153,City of Seattle - Central Library,Seattle,24 hours daily,LIBRARY,47.606684,-122.332664,Non-Networked,LG,King
44159,City of Seattle - Seattle Center,Seattle,24 hours daily; parking fee,MUNI_GOV,47.622085,-122.347124,Non-Networked,LG,King
44509,Valley Nissan,Yakima,Dealership business hours,CAR_DEALER,46.590246,-120.500687,Non-Networked,P,Yakima
45209,Snohomish County - Evergreen Fairgrounds,Monroe,8am-5pm M-F,MUNI_GOV,47.868914,-121.987449,Non-Networked,LG,Snohomish
47885,PeaceHealth,Vancouver,Employee and guest use only; non-employee use after hours,OFFICE_BLDG,45.63017,-122.504,Non-Networked,P,Clark
49230,KING COUNTY DES KSC STATION #1,Seattle,24 hours daily,,47.598663,-122.331009,ChargePoint Network,,King
51905,Nikola Broadband,Sequim,24 hours daily,OFFICE_BLDG,48.08536,-123.1135,Non-Networked,P,Clallam
53702,Mazama Country Inn,Mazama,24 hours daily; for guest use only; Drivers must bring their own J1772 cordset for Level 1 charging,HOTEL,48.594482,-120.406494,Non-Networked,P,Okanogan
55995,VIA6 VIA6-SOUTH,Seattle,24 hours daily,,47.613883,-122.339405,ChargePoint Network,,King
56870,800 FIFTH AVE STATION 2,Seattle,24 hours daily,,47.605599,-122.330626,ChargePoint Network,,King
60002,Campbell's Lake Chelan Resort,Chelan,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,HOTEL,47.8399,-120.0199,Non-Networked,P,Chelan
60004,Pine Near RV Park,Winthrop,24 hours daily; donations accepted,RV_PARK,48.476543,-120.180796,Non-Networked,P,Okanogan
60005,Omak Inn,Omak,24 hours daily,INN,48.421424,-119.503978,Non-Networked,P,Okanogan
60006,59er Diner,Leavenworth,24 hours daily,RESTAURANT,47.758434,-120.742416,Non-Networked,P,Chelan
