Year,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,County,BEV_percentage,PHEV_percentage,EV_percentage,Non_EV_percentage
2017,18682,9821,28503,5948906,5977409,WA,0.6554397782689542,0.3445602217310458,0.0047684540241432,0.9952315459758568
2018,27031,13922,40953,6050999,6091952,WA,0.6600493248357874,0.3399506751642126,0.0067224758172749,0.993277524182725
2019,36883,16556,53439,6139990,6193429,WA,0.6901888134134246,0.3098111865865753,0.0086283381952065,0.9913716618047934
2020,46310,18260,64570,6137113,6201683,WA,0.717206132879046,0.282793867120954,0.0104116898590269,0.989588310140973
2021,63256,22901,86157,6141905,6228062,WA,0.7341945518065857,0.2658054481934143,0.0138336773140665,0.9861663226859334
2022,87957,27461,115418,6033261,6148679,WA,0.7620735067320522,0.2379264932679478,0.0187711864613521,0.981228813538648
2023,130268,36637,166905,5968913,6135818,WA,0.7804918965878793,0.2195081034121206,0.0272017520728287,0.9727982479271712
2024,176559,46844,223403,5932102,6155505,WA,0.790316155109824,0.209683844890176,0.0362932042131392,0.9637067957868608
2025,194645,50945,245590,5800128,6045718,WA,0.7925607720184047,0.20743922798159534,0.040622139504356634,0.9593778604956433
2017,4,5,9,17526,17535,Adams,0.4444444444444444,0.5555555555555556,0.0005132591958939,0.999486740804106
2018,5,6,11,17879,17890,Adams,0.4545454545454545,0.5454545454545454,0.0006148686416992,0.9993851313583008
2019,6,7,13,18113,18126,Adams,0.4615384615384615,0.5384615384615384,0.0007172018095553,0.9992827981904446
2020,10,7,17,18282,18299,Adams,0.5882352941176471,0.4117647058823529,0.000929012514345,0.9990709874856548
2021,17,14,31,18472,18503,Adams,0.5483870967741935,0.4516129032258064,0.0016754039885423,0.9983245960114576
2022,24,11,35,18363,18398,Adams,0.6857142857142857,0.3142857142857143,0.0019023806935536,0.9980976193064464
2023,31,15,46,18407,18453,Adams,0.6739130434782609,0.3260869565217391,0.0024928195957296,0.9975071804042704
2024,57,21,78,18700,18778,Adams,0.7307692307692307,0.2692307692307692,0.0041537969964852,0.9958462030035148
2025,67,21,88,18183,18271,Adams,0.7613636363636364,0.23863636363636365,0.00481637567730283,0.9951836243226971
2017,8,5,13,19048,19061,Asotin,0.6153846153846154,0.3846153846153846,0.0006820208803315,0.9993179791196684
2018,12,9,21,19347,19368,Asotin,0.5714285714285714,0.4285714285714285,0.001084262701363,0.9989157372986368
2019,14,9,23,19376,19399,Asotin,0.6086956521739131,0.391304347826087,0.001185628125161,0.9988143718748388
2020,16,13,29,19060,19089,Asotin,0.5517241379310345,0.4482758620689655,0.0015191995390015,0.9984808004609984
2021,22,17,39,19431,19470,Asotin,0.5641025641025641,0.4358974358974359,0.0020030816640986,0.9979969183359014
2022,29,20,49,19050,19099,Asotin,0.5918367346938775,0.4081632653061224,0.0025655793497041,0.997434420650296
2023,41,25,66,18813,18879,Asotin,0.6212121212121212,0.3787878787878788,0.0034959478785952,0.9965040521214048
2024,63,31,94,18752,18846,Asotin,0.6702127659574468,0.3297872340425531,0.0049877958187413,0.9950122041812586
2025,65,33,98,18401,18499,Asotin,0.6632653061224489,0.336734693877551,0.005297583653170442,0.9947024163468295
2017,172,167,339,170755,171094,Benton,0.5073746312684366,0.4926253687315634,0.0019813669678656,0.9980186330321345
2018,227,235,462,174412,174874,Benton,0.4913419913419913,0.5086580086580087,0.002641902169562,0.997358097830438
2019,314,309,623,177624,178247,Benton,0.5040128410914928,0.4959871589085072,0.0034951499884991,0.9965048500115008
2020,439,358,797,178043,178840,Benton,0.5508155583437893,0.4491844416562108,0.0044564974278684,0.9955435025721316
2021,637,448,1085,179537,180622,Benton,0.5870967741935483,0.4129032258064516,0.0060070201858023,0.9939929798141977
2022,939,502,1441,178680,180121,Benton,0.6516308119361555,0.3483691880638445,0.0080001776583518,0.991999822341648
2023,1430,657,2087,178200,180287,Benton,0.6851940584571155,0.3148059415428845,0.0115759871760027,0.9884240128239972
2024,2077,843,2920,179927,182847,Benton,0.7113013698630137,0.2886986301369863,0.0159696358157366,0.9840303641842634
2025,2323,897,3220,176314,179534,Benton,0.7214285714285714,0.2785714285714286,0.017935321443292077,0.9820646785567079
2017,86,38,124,74626,74750,Chelan,0.6935483870967742,0.3064516129032258,0.0016588628762541,0.9983411371237458
2018,140,61,201,76163,76364,Chelan,0.6965174129353234,0.3034825870646766,0.0026321303231889,0.997367869676811
2019,201,79,280,77141,77421,Chelan,0.7178571428571429,0.2821428571428571,0.0036165898141331,0.9963834101858668
2020,278,89,367,77262,77629,Chelan,0.7574931880108992,0.2425068119891008,0.0047276146800808,0.9952723853199192
2021,408,115,523,77713,78236,Chelan,0.780114722753346,0.2198852772466539,0.0066849020911089,0.993315097908891
2022,548,143,691,77215,77906,Chelan,0.7930535455861071,0.2069464544138929,0.0088696634405565,0.9911303365594434
2023,800,211,1011,77351,78362,Chelan,0.7912957467853611,0.2087042532146389,0.012901661519614,0.987098338480386
2024,1068,294,1362,76676,78038,Chelan,0.7841409691629956,0.2158590308370044,0.0174530357005561,0.982546964299444
2025,1215,308,1523,74859,76382,Chelan,0.7977675640183848,0.20223243598161522,0.019939252703516534,0.9800607472964835
2017,99,91,190,70271,70461,Clallam,0.5210526315789473,0.4789473684210526,0.0026965271568669,0.997303472843133
2018,150,124,274,71986,72260,Clallam,0.5474452554744526,0.4525547445255474,0.0037918627179629,0.996208137282037
2019,197,157,354,72700,73054,Clallam,0.556497175141243,0.4435028248587571,0.0048457305554795,0.9951542694445203
2020,274,186,460,71699,72159,Clallam,0.5956521739130435,0.4043478260869565,0.0063748111808644,0.9936251888191356
2021,384,240,624,72428,73052,Clallam,0.6153846153846154,0.3846153846153846,0.0085418605924546,0.9914581394075452
2022,491,263,754,71174,71928,Clallam,0.6511936339522546,0.3488063660477453,0.0104827049271493,0.9895172950728506
2023,695,318,1013,70459,71472,Clallam,0.6860809476801579,0.3139190523198421,0.0141733825833892,0.9858266174166108
2024,938,407,1345,69719,71064,Clallam,0.6973977695167286,0.3026022304832714,0.0189266013734098,0.9810733986265902
2025,1037,440,1477,68317,69794,Clallam,0.7020988490182803,0.2979011509817197,0.02116227755967562,0.9788377224403244
2017,851,572,1423,382504,383927,Clark,0.5980323260716796,0.4019676739283204,0.0037064337751708,0.9962935662248292
2018,1246,840,2086,391040,393126,Clark,0.5973154362416108,0.4026845637583892,0.0053061868205104,0.9946938131794896
2019,1842,1043,2885,398791,401676,Clark,0.638474870017331,0.361525129982669,0.007182405720033,0.992817594279967
2020,2357,1181,3538,402632,406170,Clark,0.6661955907292255,0.3338044092707744,0.0087106384026392,0.9912893615973608
2021,3474,1560,5034,403693,408727,Clark,0.6901072705601907,0.3098927294398093,0.0123162893569546,0.9876837106430454
2022,4966,2023,6989,395814,402803,Clark,0.7105451423665761,0.2894548576334239,0.0173509134738321,0.982649086526168
2023,7297,2641,9938,393933,403871,Clark,0.7342523646608976,0.2657476353391024,0.0246068670441799,0.97539313295582
2024,10171,3393,13564,394926,408490,Clark,0.7498525508699498,0.2501474491300501,0.0332052192220127,0.9667947807779872
2025,11077,3724,14801,387443,402244,Clark,0.748395378690629,0.251604621309371,0.03679607402472131,0.9632039259752787
2017,2,1,3,3945,3948,Columbia,0.6666666666666666,0.3333333333333333,0.0007598784194528,0.9992401215805472
2018,2,2,4,3939,3943,Columbia,0.5,0.5,0.001014455997971,0.9989855440020288
2019,3,3,6,3987,3993,Columbia,0.5,0.5,0.0015026296018031,0.9984973703981967
2020,5,3,8,3981,3989,Columbia,0.625,0.375,0.0020055151667084,0.9979944848332916
2021,6,2,8,3999,4007,Columbia,0.75,0.25,0.0019965061142999,0.9980034938857
2022,7,1,8,4011,4019,Columbia,0.875,0.125,0.0019905449116695,0.9980094550883304
2023,12,0,12,3952,3964,Columbia,1.0,0.0,0.0030272452068617,0.9969727547931384
2024,12,1,13,3956,3969,Columbia,0.9230769230769232,0.0769230769230769,0.0032753842277651,0.9967246157722348
2025,18,3,21,3860,3881,Columbia,0.8571428571428571,0.14285714285714285,0.0054109765524349394,0.9945890234475651
2017,54,67,121,98884,99005,Cowlitz,0.4462809917355372,0.5537190082644629,0.0012221604969445,0.9987778395030554
2018,72,94,166,101146,101312,Cowlitz,0.4337349397590361,0.5662650602409639,0.0016385028427037,0.9983614971572964
2019,118,107,225,102644,102869,Cowlitz,0.5244444444444445,0.4755555555555555,0.0021872478589273,0.9978127521410728
2020,177,127,304,101000,101304,Cowlitz,0.5822368421052632,0.4177631578947368,0.0030008686725104,0.9969991313274896
2021,274,164,438,100450,100888,Cowlitz,0.6255707762557078,0.3744292237442922,0.0043414479422726,0.9956585520577274
2022,409,188,597,98447,99044,Cowlitz,0.6850921273031826,0.3149078726968174,0.0060276240862646,0.9939723759137352
2023,609,247,856,97480,98336,Cowlitz,0.7114485981308412,0.2885514018691589,0.0087048486820696,0.9912951513179304
2024,862,313,1175,97619,98794,Cowlitz,0.7336170212765958,0.2663829787234043,0.0118934348239771,0.9881065651760228
2025,923,336,1259,95374,96633,Cowlitz,0.7331215250198571,0.26687847498014294,0.013028675504227335,0.9869713244957726
2017,38,33,71,38922,38993,Douglas,0.5352112676056338,0.4647887323943662,0.0018208396378837,0.9981791603621164
2018,50,34,84,40151,40235,Douglas,0.5952380952380952,0.4047619047619047,0.0020877345594631,0.9979122654405368
2019,67,38,105,40583,40688,Douglas,0.638095238095238,0.3619047619047619,0.0025806134486826,0.9974193865513172
2020,86,44,130,40666,40796,Douglas,0.6615384615384615,0.3384615384615385,0.0031865869202863,0.9968134130797136
2021,115,56,171,41280,41451,Douglas,0.672514619883041,0.327485380116959,0.0041253528262285,0.9958746471737714
2022,170,58,228,41278,41506,Douglas,0.7456140350877193,0.2543859649122807,0.0054931817086686,0.9945068182913314
2023,258,81,339,41836,42175,Douglas,0.7610619469026548,0.2389380530973451,0.0080379371665678,0.991962062833432
2024,386,109,495,42133,42628,Douglas,0.7797979797979798,0.2202020202020202,0.0116120859528948,0.9883879140471052
2025,431,110,541,41082,41623,Douglas,0.7966728280961183,0.2033271719038817,0.012997621507339692,0.9870023784926603
2017,1,3,4,7921,7925,Ferry,0.25,0.75,0.0005047318611987,0.9994952681388012
2018,3,2,5,7968,7973,Ferry,0.6,0.4,0.000627116518249,0.9993728834817508
2019,5,2,7,7979,7986,Ferry,0.7142857142857143,0.2857142857142857,0.0008765339343851,0.9991234660656148
2020,9,3,12,7966,7978,Ferry,0.75,0.25,0.0015041363750313,0.9984958636249688
2021,14,3,17,8028,8045,Ferry,0.8235294117647058,0.1764705882352941,0.0021131137352392,0.9978868862647609
2022,24,4,28,7875,7903,Ferry,0.8571428571428571,0.1428571428571428,0.0035429583702391,0.9964570416297608
2023,24,3,27,7824,7851,Ferry,0.8888888888888888,0.1111111111111111,0.0034390523500191,0.9965609476499808
2024,30,4,34,7566,7600,Ferry,0.8823529411764706,0.1176470588235294,0.0044736842105263,0.9955263157894736
2025,30,10,40,7392,7432,Ferry,0.75,0.25,0.005382131324004306,0.9946178686759957
2017,30,50,80,75321,75401,Franklin,0.375,0.625,0.0010609938860227,0.9989390061139772
2018,44,66,110,78141,78251,Franklin,0.4,0.6,0.0014057328340851,0.9985942671659148
2019,54,75,129,80706,80835,Franklin,0.4186046511627907,0.5813953488372093,0.0015958433846724,0.9984041566153276
2020,85,82,167,81741,81908,Franklin,0.5089820359281437,0.4910179640718562,0.0020388728817697,0.9979611271182304
2021,162,104,266,83047,83313,Franklin,0.6090225563909775,0.3909774436090225,0.0031927790380852,0.9968072209619148
2022,254,120,374,82564,82938,Franklin,0.679144385026738,0.320855614973262,0.0045093925582965,0.9954906074417036
2023,389,161,550,83120,83670,Franklin,0.7072727272727273,0.2927272727272727,0.0065734432891119,0.993426556710888
2024,612,211,823,83795,84618,Franklin,0.7436208991494532,0.2563791008505467,0.0097260630125977,0.9902739369874022
2025,728,213,941,81646,82587,Franklin,0.7736450584484591,0.2263549415515409,0.011394045067625655,0.9886059549323744
2017,1,0,1,2264,2265,Garfield,1.0,0.0,0.0004415011037527,0.9995584988962471
2018,1,1,2,2292,2294,Garfield,0.5,0.5,0.000871839581517,0.999128160418483
2019,0,1,1,2272,2273,Garfield,0.0,1.0,0.0004399472063352,0.9995600527936648
2020,0,2,2,2359,2361,Garfield,0.0,1.0,0.000847098686997,0.9991529013130028
2021,0,3,3,2341,2344,Garfield,0.0,1.0,0.0012798634812286,0.9987201365187712
2022,1,3,4,2269,2273,Garfield,0.25,0.75,0.0017597888253409,0.998240211174659
2023,0,3,3,2268,2271,Garfield,0.0,1.0,0.0013210039630118,0.998678996036988
2024,0,3,3,2290,2293,Garfield,0.0,1.0,0.0013083296990841,0.998691670300916
2025,0,3,3,2224,2227,Garfield,0.0,1.0,0.001347103726986978,0.998652896273013
2017,26,35,61,87671,87732,Grant,0.4262295081967213,0.5737704918032787,0.0006952993206583,0.9993047006793416
2018,32,52,84,90426,90510,Grant,0.3809523809523809,0.6190476190476191,0.0009280742459396,0.9990719257540605
2019,55,69,124,92586,92710,Grant,0.4435483870967742,0.5564516129032258,0.0013375040448711,0.9986624959551288
2020,80,81,161,93365,93526,Grant,0.4968944099378882,0.5031055900621118,0.0017214464427004,0.9982785535572996
2021,137,98,235,94865,95100,Grant,0.5829787234042553,0.4170212765957446,0.0024710830704521,0.9975289169295478
2022,235,112,347,94724,95071,Grant,0.6772334293948127,0.3227665706051873,0.0036499037561401,0.9963500962438598
2023,385,164,549,95372,95921,Grant,0.7012750455373407,0.2987249544626594,0.0057234599305678,0.994276540069432
2024,588,237,825,96256,97081,Grant,0.7127272727272728,0.2872727272727273,0.0084980583224317,0.9915019416775682
2025,647,265,912,93655,94567,Grant,0.7094298245614035,0.2905701754385965,0.009643956136918798,0.9903560438630812
2017,42,41,83,65873,65956,Grays Harbor,0.5060240963855421,0.4939759036144578,0.0012584147007095,0.9987415852992904
2018,62,72,134,67798,67932,Grays Harbor,0.4626865671641791,0.5373134328358209,0.0019725607960902,0.9980274392039098
2019,105,100,205,69133,69338,Grays Harbor,0.5121951219512195,0.4878048780487805,0.0029565317718999,0.9970434682281
2020,127,122,249,69812,70061,Grays Harbor,0.5100401606425703,0.4899598393574297,0.0035540457601233,0.9964459542398768
2021,192,157,349,70754,71103,Grays Harbor,0.5501432664756447,0.4498567335243553,0.0049083723612224,0.9950916276387776
2022,248,160,408,69605,70013,Grays Harbor,0.6078431372549019,0.392156862745098,0.0058274891805807,0.9941725108194192
2023,388,222,610,68760,69370,Grays Harbor,0.6360655737704918,0.3639344262295082,0.0087934265532651,0.9912065734467348
2024,559,266,825,68157,68982,Grays Harbor,0.6775757575757576,0.3224242424242424,0.0119596416456466,0.9880403583543532
2025,621,287,908,66514,67422,Grays Harbor,0.683920704845815,0.31607929515418504,0.013467414197146333,0.9865325858028536
2017,155,166,321,82238,82559,Island,0.4828660436137071,0.5171339563862928,0.0038881284899284,0.9961118715100716
2018,276,226,502,84250,84752,Island,0.549800796812749,0.450199203187251,0.0059231640551255,0.9940768359448744
2019,375,254,629,84801,85430,Island,0.5961844197138315,0.4038155802861685,0.0073627531312185,0.9926372468687814
2020,507,289,796,84073,84869,Island,0.6369346733668342,0.3630653266331658,0.0093791608243292,0.9906208391756708
2021,714,339,1053,83776,84829,Island,0.6780626780626781,0.3219373219373219,0.0124132077473505,0.9875867922526494
2022,943,394,1337,82037,83374,Island,0.7053103964098728,0.2946896035901271,0.0160361743469187,0.9839638256530812
2023,1337,477,1814,81332,83146,Island,0.737045203969129,0.262954796030871,0.0218170447165227,0.9781829552834772
2024,1806,602,2408,80857,83265,Island,0.75,0.25,0.0289197141656158,0.9710802858343842
2025,1982,672,2654,79255,81909,Island,0.7467972871137905,0.2532027128862095,0.03240181176671672,0.9675981882332833
2017,121,74,195,33735,33930,Jefferson,0.6205128205128205,0.3794871794871794,0.0057471264367816,0.9942528735632185
2018,168,106,274,34415,34689,Jefferson,0.6131386861313869,0.3868613138686131,0.0078987575312058,0.9921012424687942
2019,217,135,352,34802,35154,Jefferson,0.6164772727272727,0.3835227272727273,0.0100130852819024,0.9899869147180976
2020,286,156,442,34364,34806,Jefferson,0.6470588235294118,0.3529411764705882,0.012698959949434,0.987301040050566
2021,381,196,577,34301,34878,Jefferson,0.6603119584055459,0.3396880415944541,0.0165433797809507,0.9834566202190492
2022,486,232,718,33601,34319,Jefferson,0.6768802228412256,0.3231197771587744,0.0209213555173519,0.979078644482648
2023,676,278,954,33374,34328,Jefferson,0.7085953878406709,0.2914046121593291,0.0277907247727802,0.9722092752272198
2024,875,325,1200,32899,34099,Jefferson,0.7291666666666666,0.2708333333333333,0.0351916478489105,0.9648083521510896
2025,940,341,1281,32254,33535,Jefferson,0.7338017174082748,0.26619828259172523,0.03819889667511555,0.9618011033248844
2017,11279,4683,15962,1554816,1570778,King,0.7066157123167522,0.2933842876832477,0.0101618433667902,0.9898381566332096
2018,16276,6528,22804,1559655,1582459,King,0.713734432555692,0.286265567444308,0.0144104839367086,0.9855895160632914
2019,21934,7544,29478,1575575,1605053,King,0.7440803310943754,0.2559196689056245,0.0183657486699816,0.9816342513300184
2020,26894,8177,35071,1552634,1587705,King,0.7668444013572467,0.2331555986427532,0.0220891160511556,0.9779108839488444
2021,35432,10228,45660,1539556,1585216,King,0.7759964958388086,0.2240035041611914,0.0288036456861399,0.97119635431386
2022,48439,12236,60675,1510871,1571546,King,0.7983353934899052,0.2016646065100947,0.0386084785300589,0.9613915214699412
2023,70509,16671,87180,1486557,1573737,King,0.8087749483826566,0.1912250516173434,0.0553968039132332,0.9446031960867668
2024,92262,21213,113475,1468119,1581594,King,0.8130601454064772,0.1869398545935228,0.0717472372808698,0.9282527627191302
2025,100392,23165,123557,1438925,1562482,King,0.8125156810217147,0.18748431897828532,0.079077390971544,0.920922609028456
2017,694,377,1071,228495,229566,Kitsap,0.6479925303454716,0.3520074696545285,0.0046653250045738,0.9953346749954262
2018,945,544,1489,233331,234820,Kitsap,0.6346541302887844,0.3653458697112156,0.006341027169747,0.993658972830253
2019,1199,654,1853,236555,238408,Kitsap,0.6470588235294118,0.3529411764705882,0.0077723901882487,0.9922276098117512
2020,1556,756,2312,233847,236159,Kitsap,0.6730103806228374,0.3269896193771626,0.0097900143547355,0.9902099856452644
2021,2125,959,3084,233537,236621,Kitsap,0.6890402075226978,0.3109597924773022,0.0130335008304419,0.986966499169558
2022,2794,1147,3941,228924,232865,Kitsap,0.7089571174828724,0.2910428825171276,0.0169239688231378,0.9830760311768622
2023,4044,1519,5563,226418,231981,Kitsap,0.7269458925040446,0.2730541074959554,0.0239804121889292,0.9760195878110708
2024,5548,1894,7442,225661,233103,Kitsap,0.7454985219027144,0.2545014780972857,0.0319258010407416,0.9680741989592584
2025,6242,1990,8232,221150,229382,Kitsap,0.7582604470359572,0.24173955296404276,0.0358877331264005,0.9641122668735995
2017,36,26,62,42245,42307,Kittitas,0.5806451612903226,0.4193548387096774,0.0014654785260122,0.9985345214739878
2018,67,37,104,43524,43628,Kittitas,0.6442307692307693,0.3557692307692308,0.00238379022646,0.99761620977354
2019,90,46,136,44659,44795,Kittitas,0.6617647058823529,0.3382352941176471,0.0030360531309297,0.9969639468690702
2020,126,51,177,44451,44628,Kittitas,0.711864406779661,0.288135593220339,0.0039661199247109,0.996033880075289
2021,206,76,282,44595,44877,Kittitas,0.7304964539007093,0.2695035460992908,0.006283842502841,0.9937161574971588
