Vehicle Location,ev_count
POINT (-117.04398 48.18285),55
POINT (-117.04546 47.08917),1
POINT (-117.04556 46.41402),84
POINT (-117.04784 46.34056),14
POINT (-117.06882 47.7251),56
POINT (-117.07351 47.22679),4
POINT (-117.0768 46.91008),29
POINT (-117.08742 46.53906),5
POINT (-117.1015 47.66829),382
POINT (-117.11195 47.70763),68
POINT (-117.12984 46.56801),6
POINT (-117.13261 47.45227),7
POINT (-117.13359 47.00706),5
POINT (-117.15511 47.27966),3
POINT (-117.17125 47.38522),3
POINT (-117.1748 47.65699),355
POINT (-117.18147 46.73015),387
POINT (-117.19631 47.65706),207
POINT (-117.21264 47.65878),215
POINT (-117.21611 47.56436),7
POINT (-117.23995 47.5353),32
POINT (-117.24261 47.12905),3
POINT (-117.24522 47.66116),382
POINT (-117.25137 46.78984),1
POINT (-117.27816 48.01723),38
POINT (-117.28054 48.31375),1
POINT (-117.28805 47.68043),396
POINT (-117.30443 48.33866),11
POINT (-117.35237 47.89594),57
POINT (-117.35298 47.70433),166
POINT (-117.35414 47.83743),185
POINT (-117.35586 47.7628),109
POINT (-117.36043 47.63396),636
POINT (-117.36477 46.87965),31
POINT (-117.37046 47.23445),11
POINT (-117.3797 47.65548),216
POINT (-117.38035 47.42909),16
POINT (-117.38884 48.85602),1
POINT (-117.39322 47.63374),564
POINT (-117.3973 47.67573),151
POINT (-117.41162 47.65726),196
POINT (-117.4118 47.7458),152
POINT (-117.41643 47.75122),1
POINT (-117.41793 48.74171),3
POINT (-117.42571 47.64779),92
POINT (-117.45005 47.7333),794
POINT (-117.45674 47.69963),301
POINT (-117.46996 47.59431),540
POINT (-117.47154 47.95431),103
POINT (-117.47511 47.22875),1
POINT (-117.54392 47.77676),146
POINT (-117.57228 47.99685),8
POINT (-117.57445 47.48928),229
POINT (-117.5821 47.09185),2
POINT (-117.58937 46.47398),3
POINT (-117.59311 47.6443),42
POINT (-117.63731 48.06288),20
POINT (-117.64458 47.64046),20
POINT (-117.67024 47.8927),1
POINT (-117.68269 47.57261),74
POINT (-117.68485 46.92752),6
POINT (-117.71555 48.28136),27
POINT (-117.72555 48.17623),11
POINT (-117.74137 48.05738),3
POINT (-117.77812 48.91739),1
POINT (-117.80582 47.90886),5
POINT (-117.8379 48.35609),6
POINT (-117.87704 47.66951),9
POINT (-117.88137 46.81612),1
POINT (-117.90454 48.54657),72
POINT (-117.90629 47.20139),1
POINT (-117.95109 47.50524),5
POINT (-117.97378 47.30036),4
POINT (-117.97577 46.32189),21
POINT (-117.98701 47.88677),2
POINT (-118.02345 48.71331),8
POINT (-118.06211 48.61053),44
POINT (-118.13633 48.31085),1
POINT (-118.14913 47.65405),34
POINT (-118.15448 46.27013),13
POINT (-118.15568 46.14048),1
POINT (-118.16165 48.42934),7
POINT (-118.20299 48.11777),2
POINT (-118.20874 48.8683),1
POINT (-118.25682 47.4829),2
POINT (-118.311 46.75578),2
POINT (-118.31243 46.29961),2
POINT (-118.34261 46.07068),514
POINT (-118.37977 47.1274),26
POINT (-118.38864 46.03456),96
POINT (-118.41899 47.82937),4
POINT (-118.50797 48.99237),1
POINT (-118.51906 47.75865),2
POINT (-118.60061 48.88101),9
POINT (-118.61566 46.97135),3
POINT (-118.66923 46.04238),13
POINT (-118.68999 47.33323),8
POINT (-118.70912 47.75942),6
POINT (-118.73748 48.64426),15
POINT (-118.86063 46.66146),21
POINT (-118.94018 47.71094),2
POINT (-118.95343 47.99877),2
POINT (-118.97665 48.16636),1
POINT (-118.97669 47.9708),10
POINT (-118.98504 47.40718),4
POINT (-119.00041 47.94283),12
POINT (-119.00503 46.57833),9
POINT (-119.01561 46.1992),23
POINT (-119.01647 46.45698),9
POINT (-119.03591 47.93348),7
POINT (-119.04573 46.96971),17
POINT (-119.09467 46.23542),896
POINT (-119.10557 47.69015),2
POINT (-119.11698 46.20837),400
POINT (-119.14482 46.18764),389
POINT (-119.1742 46.82616),76
POINT (-119.26844 46.31484),399
POINT (-119.27372 46.27391),963
POINT (-119.2771 47.13196),488
POINT (-119.27844 47.4263),1
POINT (-119.28816 47.61233),20
POINT (-119.3118 46.20664),515
POINT (-119.33836 46.29696),343
POINT (-119.35107 45.93559),1
POINT (-119.43558 48.93881),26
POINT (-119.43681 48.7086),24
POINT (-119.48323 47.38898),32
POINT (-119.48756 46.26543),100
POINT (-119.50853 48.5012),5
POINT (-119.52724 48.41078),27
POINT (-119.55096 47.31909),114
POINT (-119.57959 48.3654),10
POINT (-119.60311 45.93967),1
POINT (-119.63136 46.90248),30
POINT (-119.63759 47.8118),5
POINT (-119.67013 48.00744),4
POINT (-119.70617 48.28279),1
POINT (-119.75013 48.55781),2
POINT (-119.76904 46.20663),106
POINT (-119.78093 48.09967),29
POINT (-119.85338 47.23748),144
POINT (-119.89975 48.05502),12
POINT (-119.90008 46.73779),37
POINT (-119.90123 46.25606),63
POINT (-119.9176 47.41492),4
POINT (-119.98523 47.8029),4
POINT (-119.9899 46.94468),2
POINT (-119.99854 46.21092),12
POINT (-120.0051 48.12868),4
POINT (-120.00976 46.32379),99
POINT (-120.01454 47.83985),217
POINT (-120.07145 47.64963),8
POINT (-120.08512 46.3294),17
POINT (-120.10803 48.25448),7
POINT (-120.1231 48.3652),64
POINT (-120.14545 47.37163),20
POINT (-120.16034 47.8854),108
POINT (-120.17739 48.47396),136
POINT (-120.1871 46.33949),10
POINT (-120.20227 47.37238),32
POINT (-120.20831 47.67562),34
POINT (-120.22795 47.62353),70
POINT (-120.26226 46.40199),41
POINT (-120.29473 47.41515),415
POINT (-120.30007 45.99783),2
POINT (-120.30522 47.41494),624
POINT (-120.31298 46.37508),27
POINT (-120.31299 46.42727),2
POINT (-120.39197 46.55621),46
POINT (-120.40814 48.5941),30
POINT (-120.41752 46.98472),6
POINT (-120.42083 46.44779),33
POINT (-120.42429 47.49049),2
POINT (-120.4672 46.50345),2
POINT (-120.47005 47.5224),102
POINT (-120.4778 46.55351),143
POINT (-120.50729 46.60464),186
POINT (-120.52041 46.59751),251
POINT (-120.53145 46.65405),146
POINT (-120.54352 46.40365),1
POINT (-120.54872 46.99703),411
POINT (-120.55978 47.54128),1
POINT (-120.60199 46.59817),494
POINT (-120.60364 47.56805),31
POINT (-120.65754 47.5982),369
POINT (-120.66621 47.05139),9
POINT (-120.69972 46.7309),35
POINT (-120.70979 46.65456),6
POINT (-120.73063 46.38287),1
POINT (-120.75541 46.70257),17
POINT (-120.82545 45.823),54
POINT (-120.903 45.75198),4
POINT (-120.93943 47.195),312
POINT (-120.94822 47.18891),6
POINT (-120.96465 45.65936),1
POINT (-120.99607 47.22593),28
POINT (-121.02627 47.23781),65
POINT (-121.10717 45.84657),2
POINT (-121.14532 45.61623),14
POINT (-121.15176 45.81756),1
POINT (-121.17954 47.2378),22
POINT (-121.28544 45.6939),37
POINT (-121.29272 46.01842),1
POINT (-121.35912 47.71192),8
POINT (-121.41203 47.41873),36
POINT (-121.41604 48.52739),1
POINT (-121.46623 45.71513),14
POINT (-121.48491 47.77193),8
POINT (-121.48704 45.72776),277
POINT (-121.52357 45.72902),40
POINT (-121.52529 45.99588),41
POINT (-121.55352 47.82035),3
POINT (-121.59274 48.48758),2
POINT (-121.60421 48.25431),19
POINT (-121.66932 46.61018),32
POINT (-121.69743 47.85565),97
POINT (-121.7515 48.53892),48
POINT (-121.7831 47.49348),980
POINT (-121.81688 47.8623),289
POINT (-121.82048 45.72558),28
POINT (-121.82432 47.52716),1170
POINT (-121.88258 45.69417),63
POINT (-121.89086 47.56812),354
POINT (-121.91353 47.64901),477
POINT (-121.93846 47.54369),4
POINT (-121.95585 46.53534),7
POINT (-121.96931 48.08157),207
POINT (-121.97 45.64119),17
POINT (-121.98087 47.8526),1121
POINT (-121.98233 47.35298),131
POINT (-121.98609 47.74068),802
POINT (-121.98741 48.51786),2
POINT (-121.99136 47.20433),478
POINT (-122.00143 47.30893),518
POINT (-122.00292 47.54748),2539
POINT (-122.02054 47.60326),3307
POINT (-122.02523 47.16299),366
POINT (-122.03243 46.75908),27
POINT (-122.03287 47.68555),2256
POINT (-122.03439 47.5301),2150
POINT (-122.03539 47.61344),2755
POINT (-122.04526 47.39394),2071
POINT (-122.04732 47.10964),6
POINT (-122.04745 47.08041),13
POINT (-122.05976 48.52525),3
POINT (-122.06402 48.01497),2060
POINT (-122.07326 47.75425),93
POINT (-122.07728 48.92369),48
POINT (-122.08747 47.4466),1732
POINT (-122.09124 47.33778),1862
POINT (-122.09305 47.91265),1264
POINT (-122.09624 47.13954),5
POINT (-122.11867 47.63131),2044
POINT (-122.12056 47.61334),1341
POINT (-122.12096 47.55584),3790
POINT (-122.1264 48.19471),831
POINT (-122.13017 46.53072),8
POINT (-122.13158 47.67858),6048
POINT (-122.1389 47.87115),1561
POINT (-122.15545 47.75448),3146
POINT (-122.15716 47.48852),2592
POINT (-122.1621 47.64441),1774
POINT (-122.1677 48.11026),561
POINT (-122.17144 47.19175),1979
POINT (-122.1769 48.06114),1390
POINT (-122.17743 47.41185),1436
POINT (-122.1805 47.50006),1679
POINT (-122.1821 47.3199),1484
POINT (-122.18384 47.8031),2713
POINT (-122.18637 47.89251),1706
POINT (-122.1872 47.61001),3572
POINT (-122.18768 46.71902),16
POINT (-122.19367 46.76455),5
POINT (-122.197 47.43876),876
POINT (-122.19975 47.37483),818
POINT (-122.19977 47.76099),2
POINT (-122.20166 47.09596),240
POINT (-122.20348 48.71768),11
POINT (-122.20489 47.47532),1100
POINT (-122.20563 47.76144),1610
POINT (-122.20596 47.97659),603
POINT (-122.2066 47.67887),4033
POINT (-122.21061 47.83448),4650
POINT (-122.21238 47.57816),2931
POINT (-122.21723 48.82651),58
POINT (-122.2217 47.30661),431
POINT (-122.22901 47.72201),3051
POINT (-122.23019 47.94949),816
POINT (-122.23035 47.3074),1058
POINT (-122.23427 47.3805),12
POINT (-122.23452 48.46376),3
POINT (-122.23469 46.98436),7
POINT (-122.23741 47.3807),906
POINT (-122.23825 47.49461),862
POINT (-122.23857 48.50858),340
POINT (-122.23892 47.61613),411
POINT (-122.23972 47.2022),276
POINT (-122.24369 47.75892),1404
POINT (-122.24692 47.26465),113
POINT (-122.26495 48.99976),23
POINT (-122.2668 47.55115),2026
POINT (-122.26832 46.86733),185
POINT (-122.27514 46.5554),22
POINT (-122.27557 47.88936),700
POINT (-122.27575 47.13959),1055
POINT (-122.27734 47.83785),1123
POINT (-122.27981 47.85727),1561
POINT (-122.28504 47.19434),586
POINT (-122.29179 47.43473),3575
POINT (-122.29196 47.89908),1054
POINT (-122.29245 47.82557),1638
POINT (-122.29477 47.05703),512
POINT (-122.29521 47.19045),614
POINT (-122.2988 47.13795),463
POINT (-122.30133 47.45384),10
POINT (-122.30207 47.64085),1833
POINT (-122.30253 47.72656),1953
POINT (-122.30346 47.55379),942
POINT (-122.30855 47.10424),541
POINT (-122.30857 46.04647),3
POINT (-122.30866 47.57874),1589
POINT (-122.31009 47.60803),1676
POINT (-122.31111 47.78803),653
POINT (-122.31307 47.66127),1918
POINT (-122.31676 47.68156),3517
POINT (-122.3175 47.75781),1715
POINT (-122.31768 47.87166),1605
POINT (-122.31902 48.01306),4
POINT (-122.32172 47.24898),151
POINT (-122.32181 48.92857),16
POINT (-122.3219 47.40173),796
POINT (-122.32355 48.41566),427
POINT (-122.32427 47.63433),1025
POINT (-122.32741 47.58616),623
POINT (-122.32851 47.58064),4
POINT (-122.32863 47.46233),910
POINT (-122.32945 47.60357),1149
POINT (-122.33029 48.46846),321
POINT (-122.3303 47.30151),848
POINT (-122.3317 47.50314),998
POINT (-122.3326 47.60574),1
POINT (-122.33891 48.41644),505
POINT (-122.34134 47.46593),844
POINT (-122.34223 47.61085),787
POINT (-122.34468 47.61578),1062
