County,count_phev,count_bev,prop_phev,prop_bev
WA,50945,194645,20.74,79.26
Adams,25,82,23.364485981308412,76.63551401869158
Asotin,33,65,33.6734693877551,66.3265306122449
Benton,895,2322,27.820951196767176,72.17904880323283
Chelan,308,1216,20.209973753280842,79.79002624671917
Clallam,444,1045,29.81867024848892,70.18132975151107
Clark,3736,11090,25.198974774045595,74.8010252259544
Columbia,3,18,14.285714285714285,85.71428571428571
Cowlitz,346,978,26.132930513595166,73.86706948640483
Douglas,106,420,20.15209125475285,79.84790874524715
Ferry,6,20,23.076923076923077,76.92307692307693
Franklin,211,724,22.566844919786096,77.4331550802139
Garfield,3,0,100.0,0.0
Grant,269,639,29.625550660792953,70.37444933920705
Grays Harbor,295,637,31.65236051502146,68.34763948497854
Island,672,1982,25.320271288620948,74.67972871137904
Jefferson,337,932,26.556343577620172,73.44365642237982
King,23260,100915,18.73162874974834,81.26837125025166
Kitsap,1990,6240,24.179829890643987,75.82017010935601
Kittitas,171,726,19.063545150501675,80.93645484949833
Klickitat,126,322,28.125,71.875
Lewis,430,659,39.48576675849403,60.51423324150596
Lincoln,35,41,46.05263157894737,53.94736842105263
Mason,312,871,26.373626373626376,73.62637362637363
Okanogan,114,276,29.230769230769234,70.76923076923077
Pacific,121,169,41.724137931034484,58.27586206896552
Pend Oreille,16,55,22.535211267605636,77.46478873239437
Pierce,4354,15555,21.86950625345321,78.13049374654679
San Juan,263,900,22.613929492691316,77.38607050730867
Skagit,684,2166,24.0,76.0
Skamania,40,108,27.027027027027028,72.97297297297297
Snohomish,4847,25106,16.182018495643174,83.81798150435684
Spokane,1997,4944,28.771070450943668,71.22892954905633
Stevens,73,145,33.48623853211009,66.5137614678899
Thurston,2121,6804,23.764705882352942,76.23529411764706
Wahkiakum,27,54,33.33333333333333,66.66666666666666
Walla Walla,212,450,32.02416918429003,67.97583081570997
Whatcom,1458,4448,24.686759227903828,75.31324077209617
Whitman,156,338,31.57894736842105,68.42105263157895
Yakima,449,1183,27.512254901960787,72.48774509803921
