County,ev_count,station_count,ev_per_station,station_per_ev,ratio_class,station_per_ev_rounded
WA,245590,2536,96.84148264984228,0.0103261533450059,Class 1,0.0103
King,124175,1322,93.92965204236006,0.0106462653513187,Class 1,0.0106
Snohomish,29953,135,221.8740740740741,0.0045070610623309,Class 1,0.0045
Pierce,19909,147,135.43537414965985,0.0073835953588829,Class 1,0.0074
Clark,14826,109,136.0183486238532,0.0073519492782948,Class 1,0.0074
Thurston,8925,80,111.5625,0.0089635854341736,Class 1,0.009
Kitsap,8230,60,137.16666666666666,0.0072904009720534,Class 1,0.0073
Spokane,6941,146,47.54109589041096,0.021034433078807,Class 1,0.021
Whatcom,5906,88,67.11363636363636,0.0149001015916017,Class 1,0.0149
Benton,3217,24,134.04166666666666,0.0074603668013677,Class 1,0.0075
Skagit,2850,40,71.25,0.0140350877192982,Class 1,0.014
Island,2654,13,204.15384615384616,0.0048982667671439,Class 1,0.0049
Yakima,1632,39,41.84615384615385,0.0238970588235294,Class 2,0.0239
Chelan,1524,49,31.10204081632653,0.0321522309711286,Class 2,0.0322
Clallam,1489,35,42.54285714285714,0.0235057085292142,Class 2,0.0235
Cowlitz,1324,10,132.4,0.0075528700906344,Class 1,0.0076
Jefferson,1269,15,84.6,0.0118203309692671,Class 1,0.0118
Mason,1183,6,197.16666666666663,0.0050718512256973,Class 1,0.0051
San Juan,1163,20,58.15,0.0171969045571797,Class 1,0.0172
Lewis,1089,29,37.55172413793103,0.0266299357208448,Class 2,0.0266
Franklin,935,20,46.75,0.0213903743315508,Class 2,0.0214
Grays Harbor,932,15,62.13333333333333,0.0160944206008583,Class 1,0.0161
Grant,908,12,75.66666666666667,0.013215859030837,Class 1,0.0132
Kittitas,897,17,52.76470588235294,0.0189520624303233,Class 1,0.019
Walla Walla,662,28,23.642857142857142,0.0422960725075528,Class 3,0.0423
Douglas,526,7,75.14285714285714,0.0133079847908745,Class 1,0.0133
Whitman,494,16,30.875,0.0323886639676113,Class 2,0.0324
Klickitat,448,8,56.0,0.0178571428571428,Class 1,0.0179
Okanogan,390,14,27.857142857142858,0.0358974358974358,Class 2,0.0359
Pacific,290,5,58.0,0.0172413793103448,Class 1,0.0172
Stevens,218,5,43.6,0.0229357798165137,Class 2,0.0229
Skamania,148,3,49.333333333333336,0.0202702702702702,Class 1,0.0203
Adams,107,7,15.285714285714286,0.0654205607476635,Class 3,0.0654
Asotin,98,3,32.666666666666664,0.0306122448979591,Class 2,0.0306
Wahkiakum,81,3,27.0,0.037037037037037,Class 2,0.037
Lincoln,76,3,25.33333333333333,0.0394736842105263,Class 2,0.0395
Pend Oreille,71,1,71.0,0.0140845070422535,Class 1,0.0141
Ferry,26,0,inf,0.0,Class 0,0.0
Columbia,21,2,10.5,0.0952380952380952,Class 4,0.0952
Garfield,3,0,inf,0.0,Class 0,0.0
